Codigo_IBGE,Municipio,Ocupacao,Quantidade
230220,Beberibe,AUXILIAR NOS SERVICOS DE ALIMENTACAO,188
230220,Beberibe,COZINHEIRO GERAL,182
230220,Beberibe,CAMAREIRO DE HOTEL,163
230220,Beberibe,ATENDENTE DE LANCHONETE,89
230220,Beberibe,COPEIRO,48
230220,Beberibe,RECEPCIONISTA DE HOTEL,46
230220,Beberibe,BARMAN,45
230220,Beberibe,PADEIRO,38
230220,Beberibe,PORTEIRO (HOTEL),38
230220,Beberibe,CONFEITEIRO,21
230220,Beberibe,CUMIM,20
230220,Beberibe,CHEFE DE COZINHA,11
230220,Beberibe,CHEFE DE PORTARIA DE HOTEL,9
230220,Beberibe,CHURRASQUEIRO,9
230220,Beberibe,GERENTE DE HOTEL,6
230220,Beberibe,GOVERNANTA DE HOTELARIA,6
230220,Beberibe,MAÎTRE,5
230220,Beberibe,COZINHEIRO INDUSTRIAL,4
230220,Beberibe,GERENTE DE RESTAURANTE,4
230220,Beberibe,PIZZAIOLO,4
230220,Beberibe,CHEFE DE CONFEITARIA,3
230220,Beberibe,BARISTA,2
230220,Beberibe,GARCOM (SERVICOS DE VINHOS),1
230220,Beberibe,MORDOMO DE HOTELARIA,1
230350,Cascavel,AUXILIAR NOS SERVICOS DE ALIMENTACAO,499
230350,Cascavel,GARCOM,320
230350,Cascavel,COZINHEIRO GERAL,301
230350,Cascavel,ATENDENTE DE LANCHONETE,211
230350,Cascavel,CAMAREIRO DE HOTEL,126
230350,Cascavel,PORTEIRO (HOTEL),82
230350,Cascavel,PADEIRO,69
230350,Cascavel,COPEIRO,57
230350,Cascavel,RECEPCIONISTA DE HOTEL,51
230350,Cascavel,CONFEITEIRO,42
230350,Cascavel,PIZZAIOLO,33
230350,Cascavel,CUMIM,31
230350,Cascavel,BARMAN,24
230350,Cascavel,CHURRASQUEIRO,23
230350,Cascavel,CHEFE DE COZINHA,16
230350,Cascavel,COZINHEIRO INDUSTRIAL,15
230350,Cascavel,GOVERNANTA DE HOTELARIA,12
230350,Cascavel,GERENTE DE RESTAURANTE,11
230350,Cascavel,GERENTE DE HOTEL,9
230350,Cascavel,CHEFE DE PORTARIA DE HOTEL,4
230350,Cascavel,BARISTA,3
230350,Cascavel,GARCOM (SERVICOS DE VINHOS),1
230350,Cascavel,MAÎTRE,1
230428,Eusébio,AUXILIAR NOS SERVICOS DE ALIMENTACAO,2146
230428,Eusébio,GARCOM,942
230428,Eusébio,ATENDENTE DE LANCHONETE,902
230428,Eusébio,COZINHEIRO GERAL,609
230428,Eusébio,CAMAREIRO DE HOTEL,358
230428,Eusébio,COPEIRO,235
230428,Eusébio,PORTEIRO (HOTEL),234
230428,Eusébio,CUMIM,182
230428,Eusébio,RECEPCIONISTA DE HOTEL,166
230428,Eusébio,PADEIRO,128
230428,Eusébio,CONFEITEIRO,94
230428,Eusébio,BARMAN,57
230428,Eusébio,GERENTE DE RESTAURANTE,50
230428,Eusébio,CHURRASQUEIRO,44
230428,Eusébio,PIZZAIOLO,40
230428,Eusébio,CHEFE DE COZINHA,37
230428,Eusébio,BARISTA,35
230428,Eusébio,COZINHEIRO INDUSTRIAL,24
230428,Eusébio,GOVERNANTA DE HOTELARIA,13
230428,Eusébio,GERENTE DE HOTEL,11
230428,Eusébio,MAÎTRE,9
230428,Eusébio,CHEFE DE PORTARIA DE HOTEL,7
230428,Eusébio,GARCOM (SERVICOS DE VINHOS),2
230428,Eusébio,MORDOMO DE HOTELARIA,2
230428,Eusébio,CHEFE DE CONFEITARIA,1
230428,Eusébio,DIRETOR DE PRODUCAO E OPERACOES DE ALIMENTACAO,1
230445,Fortim,GARCOM,190
230445,Fortim,AUXILIAR NOS SERVICOS DE ALIMENTACAO,161
230445,Fortim,CAMAREIRO DE HOTEL,107
230445,Fortim,COZINHEIRO GERAL,65
230445,Fortim,RECEPCIONISTA DE HOTEL,47
230445,Fortim,ATENDENTE DE LANCHONETE,43
230445,Fortim,BARMAN,25
230445,Fortim,PADEIRO,18
230445,Fortim,CUMIM,15
230445,Fortim,PORTEIRO (HOTEL),15
230445,Fortim,COPEIRO,14
230445,Fortim,PIZZAIOLO,11
230445,Fortim,CHEFE DE COZINHA,9
230445,Fortim,GOVERNANTA DE HOTELARIA,9
230445,Fortim,CHURRASQUEIRO,8
230445,Fortim,GERENTE DE HOTEL,7
230445,Fortim,CONFEITEIRO,3
230445,Fortim,COZINHEIRO INDUSTRIAL,3
230445,Fortim,GERENTE DE RESTAURANTE,3
230445,Fortim,MAÎTRE,2
230445,Fortim,DIRETOR DE PRODUCAO E OPERACOES DE HOTEL,1
230445,Fortim,GARCOM (SERVICOS DE VINHOS),1
230535,Icapuí,AUXILIAR NOS SERVICOS DE ALIMENTACAO,133
230535,Icapuí,COZINHEIRO GERAL,74
230535,Icapuí,GARCOM,62
230535,Icapuí,COPEIRO,31
230535,Icapuí,ATENDENTE DE LANCHONETE,28
230535,Icapuí,CAMAREIRO DE HOTEL,25
230535,Icapuí,PADEIRO,14
230535,Icapuí,PORTEIRO (HOTEL),11
230535,Icapuí,RECEPCIONISTA DE HOTEL,10
230535,Icapuí,BARMAN,7
230535,Icapuí,CHEFE DE COZINHA,7
230535,Icapuí,CONFEITEIRO,5
230535,Icapuí,CUMIM,4
230535,Icapuí,CHURRASQUEIRO,2
230535,Icapuí,GARCOM (SERVICOS DE VINHOS),1
230535,Icapuí,GERENTE DE HOTEL,1
230535,Icapuí,GERENTE DE RESTAURANTE,1
230535,Icapuí,MAÎTRE,1
231085,Pindoretama,AUXILIAR NOS SERVICOS DE ALIMENTACAO,153
231085,Pindoretama,ATENDENTE DE LANCHONETE,93
231085,Pindoretama,COZINHEIRO GERAL,92
231085,Pindoretama,GARCOM,85
231085,Pindoretama,CAMAREIRO DE HOTEL,53
231085,Pindoretama,PORTEIRO (HOTEL),37
231085,Pindoretama,RECEPCIONISTA DE HOTEL,25
231085,Pindoretama,COPEIRO,23
231085,Pindoretama,CUMIM,22
231085,Pindoretama,CONFEITEIRO,17
231085,Pindoretama,PADEIRO,16
231085,Pindoretama,CHURRASQUEIRO,14
231085,Pindoretama,BARMAN,12
231085,Pindoretama,COZINHEIRO INDUSTRIAL,7
231085,Pindoretama,CHEFE DE COZINHA,4
231085,Pindoretama,GERENTE DE RESTAURANTE,3
231085,Pindoretama,BARISTA,2
231085,Pindoretama,GOVERNANTA DE HOTELARIA,2
231085,Pindoretama,PIZZAIOLO,2
231085,Pindoretama,CHEFE DE CONFEITARIA,1
